name	x	y	z	head	int	conf
s70M	756341.789524	3007486.305795	12.2	51.9	2	0.95
s71	756669.556150	3007412.373473	56.9	60.4	2	0.95
s81M	756193.924881	3007035.318633	17.1	53.5	2	0.95
s63	756617.803525	3006818.450490	47.9	50.4	2	0.95
go1	756980.071900	3006912.098097	75	59.3	2	0.95
s64	756467.474471	3006310.781882	33	57.6	2	0.95
s65M	756676.020125	3006120.644483	44.4	53.2	2	0.95
s66	756768.942285	3005839.554949	49.7	61.3	2	0.95
s97M	756219.552351	3006025.302328	29.1	46.9	2	0.95
s87M	756000.504927	3005933.518782	-29.4	44.1	2	0.95
s85M	756038.117956	3006102.777413	-20.3	45.1	2	0.95
s72M	755646.825701	3006293.531007	-25.7	42.2	2	0.95
gw12	757362.096583	3007355.291284	75	74.6	2	0.95
s88M	755643.181150	3005692.795395	8.8	43.6	2	0.95
s90M	756124.627923	3005801.873180	12.2	44.9	2	0.95
gw11	757586.316937	3007141.288294	75	75.6	2	0.95
gw3	757428.594651	3007230.007080	75	71.2	2	0.95
s82D	756309.752185	3006648.406150	27.8	49.3	2	0.95
s94M	756305.248016	3005211.193516	14	46.9	2	0.95
s84S	756370.779995	3005422.912217	34.7	47	2	0.95
s91M	756075.886091	3005455.678206	9.7	43.1	2	0.95
s96S	756141.418069	3004709.621834	34	43.9	2	0.95
s77S	756156.540834	3004397.084705	35.1	41.6	2	0.95
s78S	755468.455058	3004883.533623	37.1	48.3	2	0.95
s86	756469.077963	3004820.522105	23.2	45	2	0.95
s93M	756027.997337	3005080.129559	5.2	44.4	2	0.95
s92	755735.623894	3004959.147445	33.9	43.3	2	0.95
sb6	755881.810615	3005473.321431	15.5	45.7	2	0.95
sb5	755899.453840	3005448.116824	17	44.7	2	0.95
sb4	755854.058413	3005725.427801	10	44	2	0.95
sb3	755849.044626	3005753.092571	9	42.7	2	0.95
sb2	755793.594490	3005919.442978	8.5	44.7	2	0.95
sb1	755803.676333	3005944.647585	7.5	44.5	2	0.95
sb8	755770.910344	3004996.954355	24	44.6	2	0.95
sb9	755804.387851	3004646.338974	5	43.7	2	0.95
sb10	755821.482363	3004622.596596	3	43.1	2	0.95
bw5	755521.384733	3004308.868579	3	43.6	2	0.95
bw4	755450.811833	3003983.729147	22	47.8	2	0.95
s79S	755251.988021	3005328.483068	41.9	51.9	2	0.95
s76M	755022.005675	3006178.720833	-46.4	48.6	2	0.95
s11	756872.564947	3003732.691260	0	59.5	2	0.95
s95M	755786.285154	3004594.068404	7.9	44	2	0.95
s74M	755009.430691	3007419.233434	-4.5	47.3	2	0.95
